PID,차량번호,이전차량번호,차량명,세부 모델,색상,주행거리,최초등록일,홈페이지상태,경과일수(매입일기준),매입유형1,매입유형2,매입유형3,매입담당자,최종수정일,신차가,매입가,지점판매가,할인,할인적용가,예상매출이익,신차가대비,담당자명,RB상담수,E상담수,E URL,RB조회수,RB찜수,E조회수,E찜수,자사몰광고,E광고,지점
C26071310098,394더3925,394더3925,더 뉴카니발(YP),9인승 디젤 럭셔리,검정,123450,2019-11-26,판매중,30,선물,선물,현대캐피탈,박종만,2026-07-27,32450000,10560000.0,10600000,0,10600000,36363.0,33.0,권주용,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42510931,0,0,,,X,O,중앙특판지점
C26071500032,04조9559,04조9559,신형 싼타페,R2.0 4WD 익스클루시브 스페셜,흰색,57458,2018-08-14,판매중,30,현물,기타현물,개인매입,신학수,2026-07-16,36270000,17200000.0,19900000,0,19900000,2454545.0,55.0,김학범,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42479070,5,0,,,O,O,일산지점
C26071500019,67무0986,67무0986,K3,1.6 GDI 럭셔리,진회색,103037,2015-10-01,판매중,30,현물,기타현물,개인매입,이상명,2026-08-07,17950000,3600000.0,6100000,0,6100000,2272727.0,34.0,한재근,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42424520,7,0,,,O,O,동대구지점
C26071500073,172호9451,172호9451,쏘나타(DN8) 하이브리드,2.0 HEV 모던,진회색,15981,2022-11-09,판매중,30,위탁,위탁,레드캡투어,박범수,2026-08-11,33430000,,22000000,0,22000000,,66.0,오지희,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42408831,8,1,,,O,O,서울지점
C26071500074,175호2463,175호2463,더 뉴싼타페,가솔린 2.5 AWD 프레스티지,진회색,9745,2023-01-27,판매중,30,위탁,위탁,레드캡투어,박범수,2026-08-11,37980000,,27600000,0,27600000,,73.0,오지희,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42399548,5,0,,,O,O,서울지점
C26071500075,169호8055,169호8055,K8 하이브리드,HEV 시그니처,,41431,2022-04-18,판매중,30,위탁,위탁,레드캡투어,박범수,2026-08-11,46530000,,30000000,0,30000000,,64.0,김민식,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42409818,17,1,,,O,O,일산지점
C26081000043,316더7754,172호8186,쏘나타(DN8) 하이브리드,2.0 HEV 모던,회색,27716,2022-11-24,계약중,30,위탁매입,위탁매입,레드캡투어,박범수,2026-08-10,33430000,20611000.0,21700000,0,21700000,990000.0,65.0,유지석,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42415040,3,1,,,O,O,일산지점
C26071010005,340모8796,180호6912,신형 K5(DL3),2.0 가솔린 노블레스,흰색,128472,2022-07-11,계약중,30,선물,선물,현대캐피탈,박종만,2026-07-27,31100000,14748140.0,14800000,0,14800000,47145.0,48.0,서용현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42456842,0,0,,,X,O,중앙특판지점
C26071310116,237로1833,237로1833,더 올뉴G80,가솔린 3.5 AWD 기본형,,47332,2023-07-10,계약중,30,선물,선물,현대캐피탈,박종만,2026-07-23,76440000,43598318.0,41300000,0,41300000,-2089380.0,54.0,신경식,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42450078,7,0,,,O,O,광주지점
C26071400032,357소1662,357소1662,더 뉴그랜저IG,가솔린 2.5 프리미엄 초이스,흰색,76737,2021-01-04,판매중,31,현물,기타현물,개인매입,이동혁,2026-08-13,35400000,17500000.0,20300000,0,20300000,2545454.0,57.0,송승익,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42410388,7,1,,,O,O,일산지점
C26071010009,243고5553,141하8500,더 뉴그랜저IG,가솔린 2.5 르블랑,,66075,2022-06-08,판매중,31,선물,선물,현대캐피탈,박종만,2026-07-24,39000000,20748000.0,25900000,0,25900000,4683636.0,66.0,김철관,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42475291,5,0,,,O,O,동대구지점
C26071010103,243고5528,124호7942,GV70,2.5T AWD 기본형,흰색,61204,2022-10-24,판매중,31,선물,선물,현대캐피탈,박종만,2026-07-23,58950000,33247800.0,36800000,0,36800000,3229272.0,62.0,이관호,1,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42476293,15,0,,,O,O,부산지점
C26070910047,340모8725,198호9672,더 올뉴G80,가솔린 3.5 AWD 기본형,,25739,2023-06-19,판매중,31,선물,선물,현대캐피탈,박종만,2026-07-30,76600000,40291600.0,41800000,0,41800000,1371272.0,55.0,최은선,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42505157,11,0,,,O,O,천안지점
C26070810150,340모8797,180호7356,신형 카니발(KA4),9인승 디젤 프레스티지,,42431,2022-07-06,판매중,31,선물,선물,현대캐피탈,박종만,2026-07-30,36450000,19464300.0,22700000,0,22700000,2941545.0,62.0,김나현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42462338,8,1,,,O,O,청라지점
C26070610084,63버0558,37하2045,아이오닉 6,롱레인지 2WD 익스클루시브 플러스,진회색,33194,2023-06-26,판매중,31,선물,선물,현대캐피탈,박종만,2026-07-24,62249250,33901000.0,30700000,0,30700000,-2910000.0,49.0,김학범,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42454208,23,2,,,O,O,일산지점
C26060100058,220호5653,220호5653,더 뉴싼타페 하이브리드,1.6 HEV AWD 캘리그래피,흰색,44129,2023-05-22,판매중,31,위탁,위탁,하나캐피탈,김영욱,2026-07-15,48730000,,31300000,0,31300000,,64.0,이민형,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42441968,9,1,,,O,O,동대구지점
C26061500018,152호4085,152호4085,디 올뉴스포티지 하이브리드,1.6 HEV 노블레스 그래비티,흰색,94883,2022-06-10,판매중,31,위탁,위탁,하나캐피탈,김영욱,2026-07-15,38410000,,24300000,0,24300000,,63.0,김나현,3,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42373217,13,1,,,O,O,청라지점
C26061500004,198우9454,198우9454,컨트리맨(2세대),1.5 클래식,진회색,41557,2022-06-24,판매중,31,위탁,위탁,하나캐피탈,김영욱,2026-07-15,41700000,,32800000,0,32800000,,79.0,신경식,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42380946,3,0,,,O,O,광주지점
